"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"9005","consent.html","external-html","0","9184","0.0-0.0","jyyj9nqlypvtctmcwet5","male","battle","","","","",""
"23906","","instructions","1","33092","0.0-1.0","jyyj9nqlypvtctmcwet5","male","battle","[{""page_index"":0,""viewing_time"":3609},{""page_index"":1,""viewing_time"":15056},{""page_index"":2,""viewing_time"":4183},{""page_index"":3,""viewing_time"":1057}]","","","",""
"59563","","html-slider-response","2","92658","0.0-2.0","jyyj9nqlypvtctmcwet5","male","battle","","5","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_battle.png"" class=""main-trial""/>","trial",""
"5597","","survey-likert","3","98258","0.0-3.0-0.0","jyyj9nqlypvtctmcwet5","male","battle","","","","urgent","{""Q0"":5}"
"7075","","survey-likert","4","105338","0.0-3.0-1.0","jyyj9nqlypvtctmcwet5","male","battle","","","","peace","{""Q0"":2}"
"6528","","survey-likert","5","111874","0.0-3.0-2.0","jyyj9nqlypvtctmcwet5","male","battle","","","","sympathy","{""Q0"":4}"
"6836","","survey-likert","6","118713","0.0-3.0-3.0","jyyj9nqlypvtctmcwet5","male","battle","","","","guilty","{""Q0"":3}"
"3227","","survey-multi-choice","7","121945","0.0-4.0-0.0","jyyj9nqlypvtctmcwet5","male","battle","","","","ff-cancer","{""Q0"":""No""}"
"2010","","survey-multi-choice","8","123961","0.0-4.0-1.0","jyyj9nqlypvtctmcwet5","male","battle","","","","self-cancer","{""Q0"":""No""}"
"7142","","survey-multi-choice","9","131113","0.0-5.0","jyyj9nqlypvtctmcwet5","male","battle","","","","demographics","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3314","","survey-text","10","134433","0.0-6.0","jyyj9nqlypvtctmcwet5","male","battle","","","","age","{""Q0"":""30""}"
"109612","","survey-text","11","244046","0.0-7.0","jyyj9nqlypvtctmcwet5","male","battle","","","","purpose","{""Q0"":""I believe the purpose of this experiment is to measure how different demographics choose to allocate their (possible) bonus money to a cause. Additionally I think the experiment is trying to find a correlation between the users emotions and the amount of money they choose to donate.""}"
"7063","","survey-text","12","251109","0.0-8.0","jyyj9nqlypvtctmcwet5","male","battle","","","","feedback","{""Q0"":""Fun and interesting study, thank you!""}"
"19911","debrief.html","external-html","13","271353","0.0-9.0","jyyj9nqlypvtctmcwet5","male","battle","","","","",""
