project_id,fragment,char_location,type,keyword,label
e814c0e32180677623ce0b98f2db76b3,,0.0,none,,tp.nan
2e0edb6d01df5c42b8748024039c42e2,,0.0,none,,tp.nan
c8034964e9e7621438fc7ce477aec7f5,,0.0,none,,tp.nan
36ccaf48bbcc5604c8785f35a6af1655,,0.0,none,,tp.nan
cf14edf479e4a45ae6b64e772809df97,a... poor me right? WRONG! Not poor me! Strong me! I’ve been on such an amazing journey since this all started and at first I had no idea what was going on or where I’d,202.0,journey,journey,tp.nan
cf14edf479e4a45ae6b64e772809df97,and not allowed to eat. All of these life changing illnesses have taken me on a journey that I never expected. I want to create a book filled with all I know. It’s not ,1853.0,journey,journey,tp.nan
e54cde21f231100161679f2168c8f717, smile.  And more importantly...they gave me hope.  When I look back on my time battling cancer...I immediately think about those shoes.  I don't think about how horribl,4483.0,battle,battling,tp.nan
e45cba5ac6e54caec2f7af760bdcdb4c,"of Just Breathe will inspire you, give you strength, and astound you. We cannot fight cancer through sheer talent alone, but together, we can encourage those who are ",638.0,battle,fight,tp.nan
e45cba5ac6e54caec2f7af760bdcdb4c," healing for those who have lost loved ones. We stand together, and together we fight. Eclipse PDC is asking for your support in helping this performance ""get off the",824.0,battle,fight,tp.nan
e45cba5ac6e54caec2f7af760bdcdb4c," 8 million people are battling cancer, and each year, 560,000 of them lose that battle. That is more than 1,500 Americans per DAY. The utterly captivating presentation",470.0,battle,battle,tp.nan
e45cba5ac6e54caec2f7af760bdcdb4c,"t touches millions of people each year. In the U.S. alone, 8 million people are battling cancer, and each year, 560,000 of them lose that battle. That is more than 1,500",412.0,battle,battling,tp.nan
e45cba5ac6e54caec2f7af760bdcdb4c,"cancer through sheer talent alone, but together, we can encourage those who are battling and provide healing for those who have lost loved ones. We stand together, and t",724.0,battle,battling,tp.nan
e45cba5ac6e54caec2f7af760bdcdb4c,"est creation. Just Breathe is an original production motivated by the emotional journey that touches millions of people each year. In the U.S. alone, 8 million people a",321.0,journey,journey,tp.nan
5d1ab1d0eac6cb721e21520320ad0a4c,,,none,,tp.nan
1881d411f2a53c4b37e92172aab946aa,,,none,,tp.nan
31d07531968ded652fc3df4f7a4c10b3,"battle with cancer, the loss of her mother, and how people can help support the fight against breast cancer.  This April Team Rosemary is venturing into a brand new a",1345.0,battle,fight,tp.nan
