sample_id,before,current,end,keyword,next,project,start,type
466,We do plan on paying for some of these cost out of our own pockets as well.,"What We Have: - A dedicated crew from ##################### who’s ultimate goal is to create films that entertain audiences and captures peoples imagination - Award winning director - Award winning composer - Locked Script - Budget, Production Schedule/Timeline - Great locations around ###########, ## and ######, ##############: <",197,winning,LINK>,263028d85fcb13794f4ae49f2b05e9c6,190,battle
293,###### knows certain things are worth the time.  ,"############ is a ###### winning American record producer, conductor, arranger, composer, musician, television producer, film producer, instrumentalist, magazine founder, entertainment company executive, and humanitarian.",32,winning,And he shares a name with this funny guy we know.,7762f2a991600056682624cbeb7a563d,25,battle
1341,Please keep him in your thoughts as he/we need all of the prayers and positive vibes we can get!,Let's support ###### beating this!!,28,beating,If you are interested in some #KannonFierce ######.. please click the hashtag or see link below :),9992b1bd2a248ec7ebadeff5dd6be2ad,21,battle
381,I created ##### in 2004 during my first bout with ###### cancer.,It was a tough decision to take some of my personal experiences and put them to paper in order to entertain and possibly allow people a glimpse of what some of us go through while battling this potentialy deadly disease.,188,battling,"Make no mistake, this is still a cool, fun superhero book with vile villians, giant ###### and some really great mythological creatures.",3212552efff2953fbc29bbd9590cd656,180,battle
99,"It will look and feel great on you for sure, but it will also stand for something greater.  ","Your purchase will provide a ###### to a person that needs one, and it will also show your unity and support in fighting cancer with them.  ",120,fighting,That is the reason all supPort-T's will look identical to ########.  ,f2b0e24c6f252ff80aacef1255450c4a,112,battle
1127,Other bills are backing up as well.,"We want mom to WIN HER FIGHT, but unfortunalty it is going to take more money then our family may have.",18,win,"This is the hardest thing I have ever had to do, but I am asking for help.  ",c375034bb140c3b63a31ebf47ff9c83a,15,battle
18,"My name is ########### and I wrote a book titled ###################################################################, and Food.","To be honest, I just chronicled the true story of my wife, #####, and how we battled her cancer and how her diagnosis completely altered our lives.  ",84,battled,"#####’s story is special because ##### is special; in fact, she has been called a “miracle girl” by her oncologist.",4759b267d1cbd90e3e297bbf3bdb7502,77,battle
542,"The place of his treatment is still undecided and unknown, and I will provide as many updates as possible as we go forward.","On Friday January 18th, 2019 about ##### my dad started his fight against cancer.",65,fight,And today I ask for your help in this fight.,73b716367e97a9e38c24e3b49c3a2a83,60,battle
1110,"From the first moment, he was sure that he will beat this illness.",but there is a lot of money needed for all the treatment he needs to win this battle.,84,battle,I Strongly believe that now is the best time to support him and give him a better chance to defeat this ugly illness.,ed73fae3df295adc09c7905f4f832121,78,battle
1138,"####### desperately wants to fight this cancer and be here to raise their two wonderful children with her partner, ####, and live the future they dreamed of together.","We, her community, want to do everything we can to support ####### and her family throughout this journey.",105,journey,We appreciate any donations you are able to make to our fundraiser.,e8df8c0ae6ae4ec6b7693840a301d2e7,98,journey
