HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
306996CF6WKSJNXPYJK6UCIDN6H1B0,32KI9HN0SH8Q5EEER27HJI3DITGU1K,Reading a passage and responding to questions,"You will read a short passage about a person, then answer questions related to the passage.","sentences, decisions, language",$0.40,Thu May 14 08:17:46 PDT 2020,704,BatchId:4037346;OriginalHitTemplateId:920937340;,7200,172800,Thu May 14 16:17:46 PDT 2020,,,30OG32W0SUBVQHES3ZPVGBXJV0KNEA,AXJVILX6YBYRK,Submitted,Thu May 14 08:46:07 PDT 2020,Thu May 14 08:50:05 PDT 2020,Sat May 16 08:50:05 PDT 2020,,,,238,0% (0/0),0% (0/0),0% (0/0),70hmdfkkwx35g4tguzhc,X,
306996CF6WKSJNXPYJK6UCIDN6H1B0,32KI9HN0SH8Q5EEER27HJI3DITGU1K,Reading a passage and responding to questions,"You will read a short passage about a person, then answer questions related to the passage.","sentences, decisions, language",$0.40,Thu May 14 08:17:46 PDT 2020,704,BatchId:4037346;OriginalHitTemplateId:920937340;,7200,172800,Thu May 14 16:17:46 PDT 2020,,,30ZX6P7VF8V7CBBRVH22L37DPDLJ2W,A2HPSK48QJTVS9,Submitted,Thu May 14 08:19:40 PDT 2020,Thu May 14 08:22:58 PDT 2020,Sat May 16 08:22:58 PDT 2020,,,,198,0% (0/0),0% (0/0),0% (0/0),olabvfddok4tf1n08fod,,Failed to correctly answer one or both of the bot check questions
306996CF6WKSJNXPYJK6UCIDN6H1B0,32KI9HN0SH8Q5EEER27HJI3DITGU1K,Reading a passage and responding to questions,"You will read a short passage about a person, then answer questions related to the passage.","sentences, decisions, language",$0.40,Thu May 14 08:17:46 PDT 2020,704,BatchId:4037346;OriginalHitTemplateId:920937340;,7200,172800,Thu May 14 16:17:46 PDT 2020,,,3137ONMDKG5PGPX6GVC0QROMUQHGEI,A3N7PKK87S0H21,Submitted,Thu May 14 15:29:11 PDT 2020,Thu May 14 15:50:20 PDT 2020,Sat May 16 15:50:20 PDT 2020,,,,1269,100% (1/1),0% (0/0),0% (0/0),1awcvwvcz4cu0fejc991,X,
306996CF6WKSJNXPYJK6UCIDN6H1B0,32KI9HN0SH8Q5EEER27HJI3DITGU1K,Reading a passage and responding to questions,"You will read a short passage about a person, then answer questions related to the passage.","sentences, decisions, language",$0.40,Thu May 14 08:17:46 PDT 2020,704,BatchId:4037346;OriginalHitTemplateId:920937340;,7200,172800,Thu May 14 16:17:46 PDT 2020,,,31LVTDXBL7AUBLGCDSTG2QSD5U6LRF,A726EC4AQNNNC,Submitted,Thu May 14 08:19:30 PDT 2020,Thu May 14 08:24:15 PDT 2020,Sat May 16 08:24:15 PDT 2020,,,,285,0% (0/0),0% (0/0),0% (0/0),33oub6g8lpzmfnjrq7gg,X,
306996CF6WKSJNXPYJK6UCIDN6H1B0,32KI9HN0SH8Q5EEER27HJI3DITGU1K,Reading a passage and responding to questions,"You will read a short passage about a person, then answer questions related to the passage.","sentences, decisions, language",$0.40,Thu May 14 08:17:46 PDT 2020,704,BatchId:4037346;OriginalHitTemplateId:920937340;,7200,172800,Thu May 14 16:17:46 PDT 2020,,,32SVAV9L3F9LW0465B3UBE9M54S3AC,A23TI9HG96DRS7,Submitted,Thu May 14 08:24:51 PDT 2020,Thu May 14 08:55:58 PDT 2020,Sat May 16 08:55:58 PDT 2020,,,,1867,0% (0/0),0% (0/0),0% (0/0),uce0gzw3r5xc68mff6ek,X,
306996CF6WKSJNXPYJK6UCIDN6H1B0,32KI9HN0SH8Q5EEER27HJI3DITGU1K,Reading a passage and responding to questions,"You will read a short passage about a person, then answer questions related to the passage.","sentences, decisions, language",$0.40,Thu May 14 08:17:46 PDT 2020,704,BatchId:4037346;OriginalHitTemplateId:920937340;,7200,172800,Thu May 14 16:17:46 PDT 2020,,,32VNZTT0A74YDD9R70UZG9Q2J93R4M,APT0I9WGCQJVB,Submitted,Thu May 14 11:35:59 PDT 2020,Thu May 14 11:46:18 PDT 2020,Sat May 16 11:46:18 PDT 2020,,,,619,0% (0/0),0% (0/0),0% (0/0),2lampgrlveaqucapd20z,X,
306996CF6WKSJNXPYJK6UCIDN6H1B0,32KI9HN0SH8Q5EEER27HJI3DITGU1K,Reading a passage and responding to questions,"You will read a short passage about a person, then answer questions related to the passage.","sentences, decisions, language",$0.40,Thu May 14 08:17:46 PDT 2020,704,BatchId:4037346;OriginalHitTemplateId:920937340;,7200,172800,Thu May 14 16:17:46 PDT 2020,,,333U7HK6I9FUFL97S6MJHMYHM4GJDB,A2BPZBC76OVSMN,Submitted,Thu May 14 09:02:46 PDT 2020,Thu May 14 09:45:07 PDT 2020,Sat May 16 09:45:07 PDT 2020,,,,2541,0% (0/0),0% (0/0),0% (0/0),ba8berolwot4on36dt32,,Failed to correctly answer one or both of the bot check questions
306996CF6WKSJNXPYJK6UCIDN6H1B0,32KI9HN0SH8Q5EEER27HJI3DITGU1K,Reading a passage and responding to questions,"You will read a short passage about a person, then answer questions related to the passage.","sentences, decisions, language",$0.40,Thu May 14 08:17:46 PDT 2020,704,BatchId:4037346;OriginalHitTemplateId:920937340;,7200,172800,Thu May 14 16:17:46 PDT 2020,,,336KAV9KYQSX706QHH35VQM12HV2YA,A47N8CFWDAXNH,Submitted,Thu May 14 08:23:59 PDT 2020,Thu May 14 08:32:58 PDT 2020,Sat May 16 08:32:58 PDT 2020,,,,539,0% (0/0),0% (0/0),0% (0/0),0b5mhtlbhg22asc5fwgd,X,
306996CF6WKSJNXPYJK6UCIDN6H1B0,32KI9HN0SH8Q5EEER27HJI3DITGU1K,Reading a passage and responding to questions,"You will read a short passage about a person, then answer questions related to the passage.","sentences, decisions, language",$0.40,Thu May 14 08:17:46 PDT 2020,704,BatchId:4037346;OriginalHitTemplateId:920937340;,7200,172800,Thu May 14 16:17:46 PDT 2020,,,337RC3OW052M4SXTMCYQ3NHGQ1GLV7,A2LSX4F8D3Z0OR,Submitted,Thu May 14 12:10:28 PDT 2020,Thu May 14 12:17:27 PDT 2020,Sat May 16 12:17:27 PDT 2020,,,,419,0% (0/0),0% (0/0),0% (0/0),n24pnq36zt62737rc4l0,X,
306996CF6WKSJNXPYJK6UCIDN6H1B0,32KI9HN0SH8Q5EEER27HJI3DITGU1K,Reading a passage and responding to questions,"You will read a short passage about a person, then answer questions related to the passage.","sentences, decisions, language",$0.40,Thu May 14 08:17:46 PDT 2020,704,BatchId:4037346;OriginalHitTemplateId:920937340;,7200,172800,Thu May 14 16:17:46 PDT 2020,,,33LKR6A5KEKU1TP0O7GSIQKHVA81TE,A10UDSWE04MC7J,Submitted,Thu May 14 13:53:13 PDT 2020,Thu May 14 14:02:12 PDT 2020,Sat May 16 14:02:12 PDT 2020,,,,539,0% (0/0),0% (0/0),0% (0/0),wc58qu6o7lpzfzrpc03y,X,
