ppt,journey,battle,description
emd7a7psxk25vl5vm34o,0,0,I would describe her situation as stressful and uncertain. She is likely to have a ton of costly surgeries and appointments coming up in the future.
poytcneq3b277qn93yss,0,0,She's going through a rough time. She has lymphoma and is undergoing chemo.
jfaub1lsyblasedj7wez,0,0,Jason is currently undergoing treatment for cancer and recently had surgery on his thyroid. His best friend is helping to raise money to support his medical treatments.
1m8vr7p3x5aa645crmrb,0,0,He is undergoing chemotherapy over several months. He has many expenses associated with the treatment.
dl4b28v2g8y7lseb1ra0,0,0,She has lymphoma and is going to have tons and tons of medical bills piling up that she'll need the funds to pay for.
rvs58ff98l51al4167g7,0,0,He is suffering from lymphoma. He is going to require repeated chemotherapy.
mnkceqlemxkn4lptxs8h,1,0,Jason is struggling with being diagnosed with cancer. He has a long road ahead of him with chemo treatments that may make him feel horrible.
2bcv8v4lb4hb7wmxzq0y,0,1,She is in a battle with cancer. She needs money to help pay for the treatment.
k6e8sb4rwqruyqg9fyk8,0,0,Jennifer is suffering from lymphoma. She currently has to go through several rounds of chemotherapy and radiation and her friend is looking to raise money through donations to help cover the expenses.
wnmmdqkl23bk4ksk4xsm,0,0,Jennifer is struggling with a certain cancer and she's a very warm person. She has to go under a lot of suregy and chemotherapy.
wxhlawvwd0mm9s2jeupa,0,0,friendship Sentence Examples. I don't think our friendship will survive what is coming. Their friendship had been destroyed by one night of passion. It was meant to be the final act of their friendship.
jh8h1pjkg64m1pp7edcj,0,0,Jason has a bad case of lymphoma. He needs money to pay for procedures and hospital bills
zrj03c4ylo1ftplfyxv8,0,0,Jennifer is suffering with cancer and needs help with medical expenses
usv1ct6e1tgp144dg3lg,0,1,Jason is going through a difficult time and hit with an unexpected illness. He will need to go through chemo and he is often sick afterwards and I am hoping to get him some support other than my friendship financially.
yju3fpd5xg8c0gfa91a6,0,0,"Jennifer is a young lady with bright future, donating fund to aid her recovery from lymphoma would not only help heal her, it would help heal the world and make a different."
fp4kd6k5ra6p41e6uzl0,0,0,Jennifer underwent surgery to treat her thyroid and then it was discovered she also had cancer. The money being raised will help her with expense during her time of treatment.
fxb2q0qav65l0c4702l2,0,0,"My friend Jennifer has stage II lymphonia, and her best friend has created a hub for people to donate to her treatment. You should help out if possible!"
r6m2ywnz05jccer1531n,0,0,Jason has cancer. He is going through the treatments now. He obviously has alot of bills and expenses.
ou0zh3vzhwcer0r2gr9n,0,0,Jennifer is raising money to help her friend get through cancer. Its a very good cause to donate to because treatment can be expensive.
429wzyjbn0bysdd6abq2,0,0,Jennifer has been diagnosed with stage two lymphoma. She will now undergo chemotherapy as treatment. Her friend is collecting money to pay for the expenses.
tc3qtcwxnhlr2q9uj79l,0,0,jason is a person need lymompha and he needs some help for a fundraiser
xll4tajx9jeum1fkpljt,0,0,"she is big trouble, she needs some funds. I am praying to god for recovering from her illness"
5ztsafjpmlxpxuw0mvuq,0,0,my close friend of mine recently got diagnosed with cancer. any donations would be very much appreciated.
xlt9da1l0egf4qn0py71,0,0,She is extrem situation. She need timely help.
mrf0sl8vrwaqtg9eov4o,0,0,I cannot ignore this appeal as I am a survivor. I cannot survive with money either.
deaejrmmuxm6tnmrg373,0,0,i wouldnt
gs4jt8raa0tnwedwx0r7,0,0,Jason is suffering from lymphoma and the treatment often leaves him nauseous and weak.
urnuqo4w5hcqngf9pfgx,0,0,Jason is a person that had complicated thyroid surgery and now has stage II lymphoma. Medical costs are high as he has to undergo chemotherapy treatments over the next several months.
c3fsjc9m37v59bmapxzj,0,1,Jason is diagnosed with Lymphoma and and expects to battle against this disease every day for the foreseeable future. He will receive regular treatments that will likely deplete his financial resources.
zxharmyd8qn85oyhgvmm,1,0,She is in a rough situation just being diagnosed with Stage II Lymphoma.  She has to endure several months of medical treatments.
me05s0zblomh5tqydzmc,0,0,She has a best friend who was diagnosed with cancer and is undergoing treatments.  It does not state that her friend has any financial hardships as a result.
ubtwhmm272cjagyseozk,0,0,Jennifer is going through a tough time right now. She has cancer and is undergoing treatment.
y8c6hr7ragslouj6zyot,0,1,"This situation is a very severe case , she can battle it if she gets good donations"
7h1flfqv750u1ncjs91t,1,1,"He has had a tough battle with cancer. His therapy is taking a lot out of him, but we think he is on the road to recovery."
0x2m49618nowxvejpysr,0,0,Jennifer is very sick and will not be able to work or pay bills. She will need all the help she can get.
sblrd9upa6bgazwkogqq,0,0,"He has lymphoma, but is going through radiation therapy as treatment.  He has 3-4 months of treatment ahead of him, but is strong and determined to make it through."
wxy2po2yzkrgwfusm8uv,0,0,IT IS NOT A DOOD SITUYATION
eumocetawku4jjoqk27x,0,0,Jennifer needs help with expenses resulting from cancer treatments.
bwbhg35w15rxdbyc3aoc,0,0,He had thyroid surgery but was diagnosed with lymphoma afterwards. He cannot afford the cost of such an expensive sickness.
v5ljxyrouugel85k1r6d,0,0,"Jackson is in critical Situation
 He got injured"
1yoxvu6jh1639noyld5s,0,0,Jason is having a health issue that require urgent attention.Jason's friend is soliciting for help from the public in form of money to help him with his hospital expenses during the course of treatment.
1cwqmxvgkumn7vrlys9a,0,2,Jennifer is fighting a battle for her life . She had a complicated surgery which led to her receiving a cancer diagnosis. She is currently going through Chemo and is going to need some finance help with all the medical things.
50mrfv7fx4wpa8en8anf,0,0,"Jennifer has Lymphoma. She has a heart of gold, but she's suffering."
0o46yruf9eczsnnyy3yv,0,0,"Jennifer is undergoing treatment for Stage II Lymphoma. She has been feeling bad from the chemo, but is trying to maintain a good attitude and keeping her energy up. She will have many expenses from treatment and any donations would help."
oavk7cmgwy30kvgnw6y0,1,0,Jennifer has lymphoma. She has a long road ahead of her and needs lots of support.
dcy6pdrqzouhta4sg631,0,0,Jennifer has stage 2 lymphoma and faces many chemo treatments in the near future. Jennifer's friend has sat up a crowdfund page to help Jennifer with medical expenses during this trying time.
h0752ymh3lxs01gnh08r,0,0,She has a Lymphoma disease and doctors say she need many treatments.
cq4ara18tfnrnf23jmub,0,0,"hi friends i need your help one of my friend going for surgery due tyroid problem ,they are medical expenses are too high now they dont have enough money,anyone pls help him for surgery ,your donation may useful for his family ,pls share this message to your friends as soon as possible thanks."
ag9gczeyo3j5er8yuepv,0,0,the Jason situation at the very struggle at the very point of the describe the note pf the points at the would you describe the the situations at the work.
gtpocpbg2077j3m441rm,0,1,Jason has Stage 2 Lymphoma and his friends want to help with his fight. This fundraiser helps to give him his chemo treatments.
ek0oxh0qohr5gzh3929w,0,0,Jason has lymphoma. He will need many cancer treatments.
hwt1vgetumhmhg0jrvzs,0,1,that jason is going through some hardship with his cancer treatmeant and it would be a great help if we can help donate to him so he dont have to worry about anything else besides fighting the disease
