ppt,donation,cond_sex,cond_metaphor,rt_consent,rt_check1,rt_check2,rt_instructions,rt_trial,rt_description,rt_pastdonations,rt_sympathy,rt_urgent,rt_self_cancer,rt_ff_cancer,rt_demographic,rt_age,rt_purpose,rt_feedback,rt_debrief,total_time,check1,check2,description,past_donations,urgent,sympathy,self_cancer,ff_cancer,gender,education,socioeconomic,english,age,purpose,feedback
0013vlf4loy17c6s31p6,50,female,literal,21638,2897,3897,73496,28760,42901,9777,8266,10022,4329,4803,22642,4666,12896,3001,35327,289585,1,2,Jennifer is struggling with many medical bills due to cancer treatment.  She has lymphoma and has had her thyroid removed.,3,6,6,N,Y,F,A,75-100k,Y,36,Generosity,
004y9x2ceo2whned8lps,40,female,literal,49755,2353,3561,32176,36857,51431,6592,6064,3652,3333,3277,21479,3126,56953,42794,48315,372451,1,2,"Jennifer has cancer and her friend is raising money to pay for her treatments. She has 3-4 months left of treatments, so donations will help with her situation.",3,5,5,N,Y,F,HS,10-25k,Y,22,To see whether participants would empathize more with someone who has cancer if they themselves or close family/friends have been through the same kind of situation.,"I would have liked to see a donation goal and progress bar. Other than that, it was a good survey. Good luck with your research!"
00rptw5befykez7mjhgl,10,female,battle,7816,3411,5278,45118,62938,42821,8719,8742,6003,3782,4876,20242,5373,16343,4454,16943,263110,1,2,"Fighting cancer, with many costs. She needs help with her many bills.",0,5,5,N,Y,M,HS,10-25k,Y,62,How generous we are.,no
00u72r0n5xbplgfppl4j,0,female,battle,41328,3524,6150,81629,115055,185016,16634,11149,8896,6103,7774,35430,6971,28128,6656,54349,617478,1,2,Jennifer has stage2 of lymphoma and is struggling everyday to defeat this disease and to conquer it. ,2,4,6,N,Y,F,B,10-25k,Y,52,Donations for people with cancer,
00zllg6q1f5j7q5d407k,45,male,journey,58389,1947,3760,63067,101930,52665,14725,7425,6284,3176,7388,17827,4230,20328,2425,3856,369664,1,2,"Jason was diagnosed with stage II lymphoma and needs to go through rounds of chemotherapy.  He seems like a loving, positive person, but this situation is extremely unfortunate.",1,5,5,N,N,F,B,50-75k,Y,36,To see how empathetic people are to others in dire situations.,
01qxh7wee0klwa98vno8,0,male,literal,14062,3143,3139,32951,54475,36836,8127,5068,5997,5396,2748,18688,4229,9478,1720,3757,210366,1,1,"He has cancer and needs treatment and financial support.  However, my own friend has cancer and I would much rather support him as opposed to a total stranger.",30,6,6,N,Y,F,HS,75-100k,Y,43,Morals,
02254erzhfglvbp2fbkz,45,male,literal,31306,6453,7225,63852,120126,83613,15092,6146,14139,4728,4236,22826,5084,51189,11451,60694,509897,1,2,He was really sick and recovering. We should help him recover and gain normal life by donating him some money. ,3,5,6,N,N,F,B,25-50k,Y,36,Scenario and Donation Decisions... ,Very Nice and Thoughtful Survey. 
02exm3m1s1m6qula1vdu,15,male,journey,30958,2401,4187,50728,68127,89746,10561,5498,6677,4994,4399,19202,4405,18174,3309,22532,347820,1,2,Jason needs help to raise funds for his treatment and chemotheraphy.Please help him with as much or little as you can,2,4,6,N,Y,M,B,50-75k,Y,45,,
02fpvfwsxkmwstzdj1c1,50,female,literal,15116,7020,8029,60650,30582,140735,12554,6655,13005,6925,7262,17505,8207,33046,89338,14351,471636,1,2,I have literally never considered a guilt free friendship in my life,5,5,5,N,N,F,B,75-100k,Y,29,This testing is very intersected,yes this experiment is good..
02kadm6latwtm5urvzev,50,female,literal,73551,4362,5517,63490,75049,254766,22547,4600,9493,8925,6732,12445,6991,8910,2432,12365,574974,1,2,"she has a heart of gold and recently underwent a complicated thyroid surgery,she was diagnosed with stage 2 lymphoma.",22.381,6,6,N,N,M,M,25-50k,Y,52,,
