donation,cond_sex,cond_metaphor,past_donations,urgent,sympathy,self_cancer,ff_cancer,gender,education,socioeconomic,age
31,female,literal,4,5,6,N,OO,F,P,100-150k,77
0,male,battle,3,6,6,N,Y,M,HS,OO,52
10,male,journey,10,6,5,N,N,M,A,10-25k,30
13,male,battle,1,5,6,N,N,M,D,>150k,29
0,female,battle,3,6,5,N,N,M,HS,50-75k,39
50,male,journey,2,5,6,Y,Y,F,A,>150k,30
25,female,battle,0,5,6,N,Y,M,P,<10k,36
25,male,journey,12,6,3,N,Y,M,B,>150k,78
35,male,battle,6,3,5,N,N,F,A,100-150k,42
50,female,battle,0,5,5,N,Y,F,M,50-75k,48
45,female,journey,3,6,6,N,Y,M,OO,50-75k,63
23,female,battle,5,6,2,Y,N,F,B,75-100k,70
22,female,journey,0,6,5,N,N,OO,B,<10k,61
15,male,battle,6,3,5,Y,Y,M,P,<10k,38
26,female,literal,6,6,6,N,N,OO,HS,10-25k,69
10,female,battle,9,6,6,N,OO,M,<HS,OO,55
36,female,journey,2,5,6,Y,N,F,<HS,75-100k,41
28,male,journey,3,4,6,Y,N,M,M,50-75k,29
35,female,journey,10,6,6,Y,N,F,B,100-150k,21
37,male,journey,3,6,6,Y,Y,OO,D,OO,33
12,male,journey,3,6,6,N,N,M,B,OO,50
25,male,journey,0,5,6,N,N,M,M,75-100k,73
7,male,literal,7,6,6,N,Y,M,P,10-25k,41
0,female,journey,5,6,6,OO,Y,M,M,100-150k,53
9,male,journey,1,4,5,N,Y,M,A,100-150k,72
25,male,battle,6,6,6,N,Y,F,A,25-50k,55
50,male,journey,1,6,6,N,N,F,M,<10k,60
25,male,battle,6,6,4,N,N,NB,<HS,OO,30
0,male,journey,3,6,6,N,N,F,D,100-150k,40
0,male,literal,1,5,5,N,Y,NB,P,OO,27
32,female,battle,2,6,6,N,N,M,M,OO,31
19,male,literal,0,6,6,N,Y,F,<HS,<10k,61
50,female,literal,2,6,6,Y,N,OO,D,<10k,45
24,female,journey,1,5,6,N,N,M,<HS,10-25k,38
21,male,battle,7,6,5,Y,N,F,<HS,50-75k,70
31,female,journey,2,4,6,OO,Y,F,HS,100-150k,51
47,female,battle,21,6,6,Y,N,M,A,10-25k,79
50,female,journey,2,6,4,Y,N,F,<HS,75-100k,68
26,female,literal,5,6,6,N,N,F,OO,100-150k,59
0,male,battle,1,6,5,N,N,M,M,<10k,68
25,male,journey,1,6,6,N,Y,F,M,10-25k,74
50,male,journey,2,5,6,OO,N,F,OO,>150k,66
7,female,journey,2,6,0,N,OO,M,B,10-25k,30
13,male,literal,6,4,6,N,Y,F,HS,OO,31
39,male,journey,3,6,3,Y,N,F,HS,<10k,21
48,male,literal,6,6,6,N,N,M,M,50-75k,55
26,male,journey,16,6,6,N,N,M,OO,OO,61
38,female,battle,3,6,0,Y,Y,M,B,>150k,46
0,male,literal,20,6,6,N,Y,M,D,50-75k,67
17,female,battle,0,4,6,N,Y,F,A,100-150k,24
31,female,battle,0,6,6,N,Y,M,P,10-25k,22
25,female,literal,11,5,6,N,Y,M,D,25-50k,69
28,female,journey,1,6,6,N,Y,F,P,<10k,39
50,female,journey,4,6,5,N,N,M,B,>150k,28
25,female,journey,0,6,5,N,Y,M,HS,100-150k,55
42,male,literal,0,6,6,N,Y,F,D,50-75k,63
50,female,battle,1,5,6,N,N,F,<HS,<10k,24
40,female,battle,1,6,6,Y,N,F,A,100-150k,19
26,female,literal,2,6,6,N,Y,M,P,75-100k,59
40,female,literal,0,6,4,OO,N,M,M,10-25k,59
33,female,literal,0,6,6,Y,Y,M,<HS,<10k,33
37,male,literal,4,6,6,Y,Y,M,D,OO,22
14,female,battle,1,6,6,N,Y,F,HS,25-50k,75
0,male,literal,0,6,5,N,N,F,A,<10k,77
0,female,battle,3,5,6,Y,Y,F,D,>150k,48
50,male,literal,0,6,6,N,N,F,<HS,<10k,36
25,male,literal,1,3,6,N,Y,M,D,>150k,77
9,female,journey,0,5,6,OO,OO,NB,M,100-150k,68
18,female,literal,0,5,6,N,N,F,D,25-50k,46
20,female,battle,9,6,6,N,N,F,HS,25-50k,42
0,female,literal,1,5,5,N,N,OO,OO,75-100k,69
0,female,journey,3,6,5,OO,N,M,<HS,100-150k,58
37,male,literal,2,6,6,Y,N,F,HS,25-50k,23
11,female,literal,1,6,6,N,N,F,P,100-150k,24
50,male,battle,0,4,5,Y,N,OO,P,10-25k,47
34,female,battle,2,5,6,N,N,F,M,100-150k,76
25,male,journey,9,5,3,Y,N,M,P,50-75k,47
14,female,battle,0,5,4,OO,Y,M,M,25-50k,40
50,male,journey,12,4,6,N,Y,NB,D,75-100k,18
25,female,literal,1,6,4,N,N,NB,OO,OO,18
13,male,journey,8,6,4,N,N,F,P,100-150k,41
38,female,literal,4,6,6,N,Y,OO,P,50-75k,32
25,male,battle,7,5,6,N,N,F,A,25-50k,23
9,female,literal,6,6,6,Y,N,M,A,75-100k,23
13,female,literal,1,5,6,N,N,F,<HS,100-150k,71
25,male,journey,1,6,5,N,N,F,A,50-75k,34
0,female,journey,24,6,6,N,N,M,A,50-75k,28
32,male,literal,1,6,2,N,N,OO,D,75-100k,32
25,female,literal,3,5,6,OO,Y,M,<HS,75-100k,24
12,male,battle,1,6,5,N,N,M,OO,50-75k,36
2,male,literal,7,4,6,N,Y,F,OO,25-50k,57
11,female,journey,0,6,6,OO,OO,M,B,OO,58
50,female,battle,6,6,6,Y,Y,F,HS,50-75k,48
14,female,journey,8,6,6,N,OO,F,HS,100-150k,22
18,male,literal,11,6,6,Y,Y,F,HS,>150k,69
0,male,literal,6,6,4,N,N,F,D,>150k,63
