RAND,ppt,notes,journey,battle,gofundme_mention,sympathy,sentiment,on-topic,intensifiers,description
0.800682199,tf3xonytl4jagsno9cql,,0,0,,0,0,1,0,Jennifer has cancer. She needs treatment for the cancer.
0.230206093,rha1kuk3n0p39uyouqvm,,0,0,,0,,,,
0.555031837,smh4v9rqeytrb2yegyqw,,0,0,,0,0,1,,Jenifer was diagnosed with Stage II Lymphoma.She will need many treatments of chemotherapy and radiation as well.
0.848013556,b0cfxvjb6q2vya1cesbo,,0,0,,0,0,1,,Jason is sick with stage 2 lymphoma and needs treatment. Treatment is expensive and lasts for 3-4 months
0.075600036,3b9w0bh94du4phw3wsos,,0,0,,0,0,1,0,Jason just had a thyroid surgery and now has lymphoma.  He needs money to cover his treatment costs.
0.710733526,reqfg8cx246zoszmrnff,"Needs help, ""hard times"" metaphor",0,0,,1,1,1,,Jason needs financial help. He is undergoing treatment and has trouble paying the bills. He deserves help as he is a good person going through a very hard time. 
0.297257246,3dkdcw9ekafjqz1v2w87,,0,3,,0,0,1,,As Jennifer's best friend.I am raising money to help pay for the many expanse that will come along during the tough battle ahead.She's strong and wands more than anything to get thought this flight.Any little bit helps we appreciate you all for helping her thought his difficult bottle. 
0.992000925,hhw1u9my0wb4mmloq5y1,,0,0,,0,0,0,0,he is in need of some help
0.827838074,hct0sxcek1473jxxe8fl,"negative sent ""suffering"" and ""need""",0,0,,1,-1,1,,jennifer is suffering from cancer. She really needs money to cover medical costs.
0.113604868,xznwx3jeunh9jk5lh787,"""going through""",1,0,,1,1,1,,Jennifer is going through a terrible experience. She is a good person and deserves our support.
0.368772848,f2rmnlfbsanlttcfne6y,Good person,0,0,,1,1,1,,Well Jason is dealing with a cancerous disease and he really needs help right now. He is a good person who could really use some good cheer right now. 
0.952691796,fpyospteggoemb59nuxw,"Wealth, insane cost, unfortunate",0,0,,1,-1,1,,A guy that has lymphoma cancer at stage 2. He has elected to have surgery and chemo + radiation treatments. The doctors are going to charge him insane amounts of money which he does not have. This is very unfortunate that the doctors will get wealthy off of his misfortune. Anything you can donate to him will be helpful.
0.348905645,m77sun1swt96wjlejhj6,,0,1,,0,0,1,,Jennifer is currently battling stage 2 lympathic cancer.  She will need multiple treatments over the next 3-4 months including chemotherapy.  She has treatment every 21 days.
