ppt,donation,cond_sex,cond_metaphor,rt_consent,rt_check1,rt_check2,rt_instructions,rt_trial,rt_description,rt_pastdonations,rt_sympathy,rt_urgent,rt_self_cancer,rt_ff_cancer,rt_demographic,rt_age,rt_purpose,rt_feedback,rt_debrief,total_time,check1,check2,description,past_donations,urgent,sympathy,self_cancer,ff_cancer,gender,education,socioeconomic,english,age,purpose,feedback
00rptw5befykez7mjhgl,10,female,battle,7816,3411,5278,45118,62938,42821,8719,8742,6003,3782,4876,20242,5373,16343,4454,16943,263110,1,2,"Fighting cancer, with many costs. She needs help with her many bills.",0,5,5,N,Y,M,HS,10-25k,Y,62,How generous we are.,no
02254erzhfglvbp2fbkz,45,male,literal,31306,6453,7225,63852,120126,83613,15092,6146,14139,4728,4236,22826,5084,51189,11451,60694,509897,1,2,He was really sick and recovering. We should help him recover and gain normal life by donating him some money. ,3,5,6,N,N,F,B,25-50k,Y,36,Scenario and Donation Decisions... ,Very Nice and Thoughtful Survey. 
02exm3m1s1m6qula1vdu,15,male,journey,30958,2401,4187,50728,68127,89746,10561,5498,6677,4994,4399,19202,4405,18174,3309,22532,347820,1,2,Jason needs help to raise funds for his treatment and chemotheraphy.Please help him with as much or little as you can,2,4,6,N,Y,M,B,50-75k,Y,45,,
02fpvfwsxkmwstzdj1c1,50,female,literal,15116,7020,8029,60650,30582,140735,12554,6655,13005,6925,7262,17505,8207,33046,89338,14351,471636,1,2,I have literally never considered a guilt free friendship in my life,5,5,5,N,N,F,B,75-100k,Y,29,This testing is very intersected,yes this experiment is good..
02kadm6latwtm5urvzev,50,female,literal,73551,4362,5517,63490,75049,254766,22547,4600,9493,8925,6732,12445,6991,8910,2432,12365,574974,1,2,"she has a heart of gold and recently underwent a complicated thyroid surgery,she was diagnosed with stage 2 lymphoma.",33.13,6,6,N,N,M,M,25-50k,Y,52,,
02q77xlpynuxgy7zlvru,20,female,literal,60821,2187,2551,32703,20836,16417,6120,2735,4578,2562,2076,12007,2701,37635,4042,7696,218374,1,2,Jennifer is suffering from lymphoma and needs help.,0,5,6,N,Y,F,HS,<10k,Y,20,What receiving the remainder of the money after donation does to amounts donated,No
02rhcpfkzrzrrxk4x7dy,10,male,journey,10335,4258,5366,45788,82506,122903,8875,14209,6360,4099,4289,13038,5772,211652,191007,11070,742113,1,2,He is suffering from stage 2 Lymphoma and undergoing very difficult and challenging treatment. His friend is trying to raise some money to help him with the expenses.,3,6,5,N,Y,M,A,75-100k,Y,58,"How much if any sympathy one has for Jason and how much they are willing to give. I doubt I will win the drawing anyway. Of all the drawings I have been entered in I have never, ever won even one time.

Cancer runs in my family. My dad, brother, 2 uncles and one aunt have all died of cancer. I am sure I will too, it's not if but rather when.",My dad died of anaplastic thyroid cancer just 5 weeks from date of diagnosis. My brother died of renal cancer just 6 weeks from date of diagnosis. My grandmother died a horrible agonizing death from breast cancer.I could go on but enough.
02w1od3le5ku002tk2fb,30,male,journey,9574,3951,4183,58470,157097,96009,13302,5400,6594,3451,5701,18072,5490,22109,6526,15976,432439,1,2,Jason is having his own battle and we as people of compassion should help our fellow man.  its not just about being nice but to pass along a kind of kindness to someone any way we can help.,1,6,6,N,N,M,B,25-50k,Y,37,to see how many people would donate to a cause and how much.,"NA"
02wb69b0gjrny3gztupu,5,female,literal,6670,4525,4561,44061,63074,112639,5969,6010,2925,2211,2371,14299,3801,3928,5829,2982,286323,1,2,This girl Jennifer recently went through a complicated thyroid surgery and now she found out she has Stage II Lymphoma. She will have to go through many treatments and the costs for all of this will be a lot. Her friend is helping her by raising some money.,5,3,6,N,N,M,B,25-50k,Y,30,I'm not sure.,Enjoyed the survey. :)
03o5ppq1zwj5qltrpt09,10,female,battle,18369,2557,3759,45940,65687,23699,7254,5490,4211,3680,3860,17586,8748,30022,3147,27202,271524,1,2,she has lymphoma.she is taking chemo every 21 days for 3-4 months. ,1,5,6,N,Y,F,B,50-75k,Y,31,sympathy to other individuals ,no
03ttadlplktgjgjq51er,5,female,battle,34695,4840,4770,40168,45731,19279,12849,9067,5500,5416,5140,15142,5139,3990,1630,7035,221707,1,2,a pathetic situation,1,5,4,N,N,M,B,25-50k,Y,45,,
03ubbkkt9vpbhvozr5s1,45,male,literal,3261,1399,994,3352,6883,55399,2708,1886,7662,2394,2359,9292,3943,34008,1878,1197,138670,1,2,A man named Jason is suffering from stage two lymphoma. He needs help in fighting this horrible disease.,33.13,6,6,N,N,M,HS,50-75k,Y,25,I think it was a sympathy test to see how much we would donate.,
0611deu608qk1msmz6x7,5,female,literal,17755,2536,2571,58603,53891,101870,7896,3734,4334,2864,2698,13865,4822,82536,2132,8812,371189,1,2,"She has a type of cancer that will require multiple courses of chemo therapy, and possibly radiation as well. As a result of this, a friend of hers is raising money to help cover her living expenses and these medical bills as well.",3,2,4,N,N,M,B,75-100k,Y,36,"Your level of concern for an individual suffering from cancer and in need of monetary assistance, versus your own desire to get additional money from this survey.",
06s3c1omymrgt1j2bcyw,40,female,journey,24343,18301,13268,115143,104586,334475,22765,20525,10981,15164,6548,88917,12636,72086,9566,21326,892994,1,2,She affected by lymphoma. so please help her. If u help little money to her definitely she will recover.So please do all . ,3,6,6,N,N,F,B,25-50k,Y,28,crowdfunding campaign,Nice study
07bzuoxdsxdwslg6ojq0,25,male,journey,4951,1607,2981,28503,50877,43584,3444,1841,3532,7110,1625,12415,3138,11262,6929,43109,227491,1,2,He has lymphoma. He's undergoing chemo and is doing ok but anticipates financial difficulty,0,2,3,N,Y,M,HS,25-50k,Y,37,Attention and charity,No
07njkuapmy2pgqjnk166,40,male,battle,6731,2515,3430,40584,55261,29455,5623,4511,8351,2350,2302,13195,3406,1912,1575,2303,183847,1,2,He is battling Lymphoma. He has a long battle ahead of him. This is going to be very expensive. ,15,5,5,N,Y,M,B,100-150k,Y,42,,
07szstfo0gpcp8sfzj72,36,female,journey,4714,3470,3459,10564,39197,28360,9088,5975,5166,5089,6628,9247,4411,2745,1569,2506,143137,1,2,"Jennifer has stage 2 lymphoma, and she is undergoing treatments for the near future.",1,5,5,N,Y,M,B,25-50k,Y,25,,
08g03pqwh2zsp0fjl82e,35,female,journey,11615,4685,4555,10138,12649,20491,4534,5858,9466,14117,7141,20166,13703,3304,5423,37762,188675,1,2,JENNIFER WAS SUFFERED VERY MUCH,2,4,5,N,N,M,B,10-25k,Y,34,,
09f21ggqdc6ec3k85c1j,10,male,battle,38191,3055,3002,34657,50859,70234,29973,4962,22289,14306,2861,24871,4358,50259,2753,28280,385257,1,2,A person named Jason is undergoing chemo because he has a type of cancer and he could use donations to help cover the costs.,5,4,6,N,Y,M,HS,50-75k,Y,19,How compassionate people are if they've been in similar situations to people who are asking for donations.,
09t4a0ocg2475rlab3kp,1,female,battle,5060,1732,2370,34032,9744,10398,4663,2364,3003,1998,2200,9381,4112,1114,810,4552,98123,1,2,She has lymphoma. She is looking for help financially.,0,6,5,N,N,M,B,25-50k,Y,30,,
0ajaoxsy3347gmp5cazv,30,male,literal,5052,2635,1349,7785,7004,47542,4398,2900,3687,2949,2316,8969,7622,2180,1110,3606,112106,1,2,Jason fights with cancer and there is no one to help with him fund.So that it's appropriate to help him in that situation.,1,6,6,N,N,F,B,25-50k,Y,40,,
0anp7uywof2g9cq6vedg,30,male,literal,21317,1937,4981,30251,36978,59910,5916,2009,3576,3135,3637,10855,5171,17638,9469,16947,234177,1,2,Jason is suffering with emphysema and neeed our help. He has a heart of gold and he has always gone out of his way to help people. ,3,4,3,N,N,M,HS,10-25k,Y,28,What you think about charitable giving.,great study thanks a lot!
0azs22y8g9yjjj8eoq8h,0,male,journey,12500,3254,4582,49520,58621,29255,8582,5505,4423,3918,2183,9519,3790,2998,2775,4889,207112,1,2,It is pathetic and requires more attention and money to cure.,0,3,5,N,N,F,A,25-50k,Y,32,,
0b5mhtlbhg22asc5fwgd,4,female,journey,35129,2833,7495,90871,152176,64664,13114,9482,7615,13399,4165,22977,9834,5773,5265,14343,460006,1,2,A girl is stuffing from cancer. Her family needs help to pay for medical costs and treatments. ,0,6,6,N,N,M,HS,10-25k,Y,40,,
0bd6cwvr9ktc20r0we68,10,female,literal,5594,2092,43950,37908,45604,30456,7245,2906,6404,8884,2096,10327,3344,1539,1189,4823,214710,1,2,She is a very sweet girl who unfortunately has Lymphoma. She is fighting this disease currently and could use any help she could get.,2,6,6,N,N,M,HS,25-50k,Y,30,,
0dbx24rfon70evxukfq3,32,female,journey,107808,1852,2774,3625,7071,9668,3316,5446,19118,1733,2848,6894,3800,1547,761,22069,200706,1,2,I thought it was a managable situation.,4,3,3,N,N,M,P,100-150k,Y,27,,
0ems0dg7r4bsw61dut1n,10,male,battle,11666,2888,4094,32998,72581,36761,7331,3563,3447,4094,2186,10390,3463,27885,1392,22174,247435,1,2,That yes he does have lyphoma but he is a fighter and he will get through this. ,4,5,4,N,Y,F,HS,10-25k,Y,58,How people will help people in a bad situation?,
0fcrvywbd2bo0sc3nmgg,25,male,battle,25320,3022,4990,26584,35198,21614,6007,6942,6637,3509,4061,13607,5054,22431,1847,33434,220591,1,2,He is sick and needs treatment. ,10,4,4,N,Y,F,B,75-100k,Y,55,Donation by empathy,
0flx0cmrkzpdcw6quors,44,female,battle,20571,4527,7450,5294,9402,30162,3296,6036,18507,13291,4900,10709,23384,34918,19693,18128,232861,0,1,"Then, with the new understanding of the situation, Jon thought for a few ... and he went back down to the car to explain the situation to his frightened sister.",5,5,5,N,N,M,M,25-50k,Y,30,Reading a passage and responding to questions,good
0g1clg8bfjl7mw8032fz,29,male,journey,9242,3900,3182,35133,64605,37857,8902,4062,7152,8643,4907,29714,9692,11227,7170,6807,253435,1,2,"I feel very sad 
I try to cure my friend",10,4,4,N,Y,M,B,10-25k,Y,29,cancer,good
0g81rs9ujvyxgwx1bgw0,35,male,literal,10552,3929,5651,79109,22201,127487,11921,6357,6829,10316,7745,22167,4053,40073,2618,8253,369915,1,2,I would say that Jason's situation is very complicated and hard to open up to and talk about what is truly going on. It might be difficult to ask for help but also return the help as well. ,1,2,5,N,N,F,B,75-100k,Y,23,to understand peoples reaction and sympathy towards different types of difficulties in life that others experience. ,
0gwslkbmos5qhsjpy0rr,17,female,literal,64385,5757,7371,102303,372724,209339,12057,8357,11692,6248,8490,22351,7760,77573,7088,122628,1056182,1,2,"1. Her health condition is actually so pathetic.She need fund assistance to cater for that.

2. She is diagnosed with a dangerous disease that require series of treatments.",5,5,4,N,Y,M,B,10-25k,Y,27,Readiness/Willingness in donating towards a charity. ,
0h75qnzjjw3cmuh9vwj2,35,male,battle,3712,1796,2900,18252,10556,39357,5839,2835,4351,3188,1970,14411,2755,15199,4510,7013,139016,1,2,"Jason has lymphoma, but the medical bills are too high. he started a gofundme to help pay for the expensive medical bills.",0,6,6,N,Y,M,HS,<10k,Y,21,If people read beyond the title.,
0hqq1omlnxyhl4xltyro,45,female,literal,24833,2653,4037,44120,72553,174120,9840,4039,3872,4503,3828,7619,3675,5509,1658,28418,395746,1,2,"Jennifer's situation is a very unfortunate one that she could have never foreseen or prevented. She is in dire need of assistance financial and emotionally. Hopefully, she will pull through this unfortunate event in her life and pay it forward. ",0,6,6,N,Y,M,HS,25-50k,Y,35,,
